age,tenure,monthly_charges,total_charges,num_products,contract_type,payment_method,internet_service,online_security,senior_citizen,target
22,23.0,91.72,2109.56,1,Month-to-month,Credit card,Fiber optic,Yes,1,0
27,12.0,95.05,1140.6,1,Month-to-month,Electronic check,Fiber optic,No,1,0
22,18.0,98.43,1771.74,1,Month-to-month,Electronic check,Fiber optic,No,1,1
28,14.0,97.0,1358.0,1,One year,Credit card,Fiber optic,No,1,1
18,4.0,110.56,442.24,1,Month-to-month,Electronic check,Fiber optic,No,0,1
19,12.0,86.89,1042.68,1,Month-to-month,Electronic check,Fiber optic,No,0,1
32,23.0,112.42,2585.66,2,Month-to-month,Electronic check,Fiber optic,No,1,1
31,24.0,77.73,1865.52,2,Month-to-month,Electronic check,Fiber optic,Yes,1,1
28,24.0,106.01,2544.24,2,Month-to-month,Electronic check,Fiber optic,No,0,1
34,15.0,106.41,1596.15,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
34,7.0,99.72,698.04,1,Month-to-month,Electronic check,Fiber optic,No,0,1
32,14.0,82.97,1161.58,2,Month-to-month,Electronic check,Fiber optic,No,0,1
30,16.0,100.43,1606.88,1,Month-to-month,Electronic check,Fiber optic,No,0,1
33,7.0,80.62,564.34,1,Month-to-month,Electronic check,Fiber optic,Yes,1,1
24,24.0,72.51,1740.24,1,Two year,Electronic check,Fiber optic,Yes,0,1
21,13.0,108.25,1407.25,1,Month-to-month,Electronic check,Fiber optic,No,0,1
29,8.0,90.5,724.0,1,Month-to-month,Electronic check,Fiber optic,No,0,1
26,11.0,81.98,901.78,1,Month-to-month,Electronic check,Fiber optic,No,1,1
29,2.0,105.89,211.78,2,Month-to-month,Electronic check,Fiber optic,No,0,1
28,15.0,88.29,1324.35,1,Month-to-month,Electronic check,No,No,1,1
22,8.0,98.6,788.8,2,Month-to-month,Credit card,Fiber optic,No,0,1
31,23.0,85.55,1967.65,1,Month-to-month,Credit card,No,No,0,1
21,7.0,76.97,538.79,1,Month-to-month,Credit card,Fiber optic,No,0,0
34,6.0,80.78,484.68,2,Month-to-month,Electronic check,Fiber optic,No,0,1
31,15.0,84.13,1261.95,2,Month-to-month,Credit card,Fiber optic,No,1,1
27,7.0,95.33,667.31,2,Month-to-month,Electronic check,Fiber optic,No,1,1
27,8.0,102.53,820.24,1,Month-to-month,Electronic check,Fiber optic,No,1,1
22,9.0,118.3,1064.7,1,Month-to-month,Electronic check,Fiber optic,No,0,1
30,17.0,99.6,1693.2,2,Two year,Credit card,Fiber optic,No,0,1
34,6.0,118.31,709.86,2,Month-to-month,Electronic check,Fiber optic,No,0,1
27,22.0,78.35,1723.7,2,Month-to-month,Electronic check,Fiber optic,Yes,1,1
23,8.0,74.19,593.52,2,Month-to-month,Electronic check,Fiber optic,No,0,1
33,19.0,75.01,1425.19,1,Month-to-month,Electronic check,Fiber optic,No,1,1
28,23.0,90.1,2072.3,1,One year,Electronic check,Fiber optic,No,1,1
32,17.0,88.74,1508.58,1,Month-to-month,Electronic check,Fiber optic,No,0,1
29,9.0,109.61,986.49,2,Month-to-month,Credit card,Fiber optic,No,0,0
29,16.0,71.53,1144.48,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
20,19.0,99.65,1893.35,2,Month-to-month,Electronic check,Fiber optic,No,0,1
28,19.0,118.7,2255.3,1,Month-to-month,Electronic check,Fiber optic,No,1,1
34,1.0,87.27,87.27,2,Month-to-month,Electronic check,Fiber optic,No,0,1
21,2.0,96.32,192.64,2,Month-to-month,Electronic check,Fiber optic,No,0,1
24,7.0,101.09,707.63,1,One year,Electronic check,Fiber optic,No,0,1
24,8.0,100.73,805.84,1,Month-to-month,Electronic check,Fiber optic,No,1,1
25,17.0,97.16,1651.72,1,Month-to-month,Credit card,No,No,0,1
19,2.0,90.7,181.4,1,Month-to-month,Electronic check,Fiber optic,No,0,1
19,11.0,89.65,986.15,2,Month-to-month,Electronic check,No,No,0,1
32,19.0,76.33,1450.27,2,Month-to-month,Electronic check,Fiber optic,No,1,1
18,22.0,109.79,2415.38,2,Month-to-month,Electronic check,Fiber optic,Yes,1,1
23,1.0,115.88,115.88,1,Month-to-month,Electronic check,Fiber optic,Yes,1,1
24,10.0,78.22,782.2,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
25,7.0,77.74,544.18,1,One year,Credit card,Fiber optic,No,1,1
34,15.0,119.7,1795.5,1,Month-to-month,Electronic check,Fiber optic,No,0,1
23,20.0,70.27,1405.4,1,Month-to-month,Electronic check,Fiber optic,No,1,1
34,14.0,112.05,1568.7,2,Month-to-month,Electronic check,Fiber optic,No,1,1
33,14.0,117.92,1650.88,2,Month-to-month,Electronic check,Fiber optic,No,0,1
25,14.0,107.16,1500.24,1,Month-to-month,Electronic check,Fiber optic,Yes,1,1
28,7.0,82.78,579.46,1,Month-to-month,Electronic check,Fiber optic,No,1,1
33,16.0,108.77,1740.32,1,Month-to-month,Credit card,Fiber optic,No,1,1
31,4.0,100.71,402.84,1,Month-to-month,Electronic check,Fiber optic,No,1,1
28,12.0,106.18,1274.16,1,Month-to-month,Electronic check,Fiber optic,No,1,1
25,22.0,94.4,2076.8,1,Month-to-month,Electronic check,Fiber optic,No,1,1
29,4.0,85.09,340.36,1,Month-to-month,Electronic check,Fiber optic,No,1,1
23,2.0,116.6,233.2,2,Month-to-month,Electronic check,Fiber optic,No,0,1
24,1.0,98.09,98.09,2,One year,Electronic check,No,No,0,1
27,0.0,87.12,0.0,2,Two year,Credit card,Fiber optic,Yes,1,1
33,6.0,79.24,475.44,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
33,6.0,103.81,622.86,1,Two year,Credit card,Fiber optic,No,0,1
20,2.0,75.63,151.26,1,Month-to-month,Credit card,Fiber optic,Yes,0,1
24,20.0,99.32,1986.4,2,Month-to-month,Electronic check,Fiber optic,No,1,1
21,2.0,96.25,192.5,2,One year,Electronic check,Fiber optic,No,1,1
34,7.0,118.61,830.27,2,Month-to-month,Electronic check,Fiber optic,No,0,1
25,7.0,111.13,777.91,2,Month-to-month,Electronic check,Fiber optic,No,0,1
32,14.0,86.51,1211.14,1,Month-to-month,Electronic check,Fiber optic,No,0,1
21,14.0,93.49,1308.86,1,Month-to-month,Electronic check,Fiber optic,No,0,1
31,10.0,119.16,1191.6,2,Month-to-month,Electronic check,Fiber optic,No,1,1
24,8.0,111.52,892.16,1,Month-to-month,Electronic check,Fiber optic,No,0,1
33,16.0,74.56,1192.96,1,Month-to-month,Electronic check,No,Yes,0,1
20,19.0,105.74,2009.06,2,Month-to-month,Electronic check,Fiber optic,No,0,1
33,11.0,108.92,1198.12,2,One year,Electronic check,Fiber optic,No,0,1
21,24.0,119.85,2876.4,2,Month-to-month,Credit card,No,No,1,1
22,19.0,110.77,2104.63,1,Month-to-month,Electronic check,Fiber optic,No,0,1
25,8.0,116.82,934.56,2,Month-to-month,Electronic check,Fiber optic,No,1,1
18,24.0,118.07,2833.68,1,Two year,Electronic check,Fiber optic,No,1,1
25,5.0,77.24,386.2,2,Month-to-month,Electronic check,Fiber optic,No,0,1
22,17.0,116.32,1977.44,2,Month-to-month,Electronic check,Fiber optic,Yes,0,1
27,17.0,71.59,1217.03,2,Month-to-month,Electronic check,Fiber optic,No,1,1
29,7.0,103.92,727.44,2,Month-to-month,Credit card,Fiber optic,No,0,1
31,14.0,112.5,1575.0,1,Month-to-month,Electronic check,Fiber optic,No,1,1
24,8.0,89.91,719.28,1,Month-to-month,Electronic check,Fiber optic,No,0,1
25,19.0,112.84,2143.96,1,Month-to-month,Electronic check,No,Yes,0,1
32,7.0,103.48,724.36,1,Month-to-month,Electronic check,No,No,0,1
33,15.0,102.6,1539.0,1,Month-to-month,Electronic check,Fiber optic,No,0,1
29,12.0,99.57,1194.84,1,Month-to-month,Credit card,Fiber optic,No,0,1
23,6.0,77.36,464.16,2,Month-to-month,Electronic check,No,No,0,1
26,22.0,118.78,2613.16,2,Month-to-month,Electronic check,Fiber optic,No,1,1
30,22.0,104.35,2295.7,1,Month-to-month,Electronic check,Fiber optic,Yes,0,1
19,12.0,112.89,1354.68,1,Month-to-month,Credit card,Fiber optic,No,0,1
23,14.0,86.87,1216.18,2,Month-to-month,Electronic check,Fiber optic,No,0,1
34,6.0,77.2,463.2,1,Month-to-month,Credit card,Fiber optic,No,0,1
